[MAP]
#x	y	width	height
0	2832	1024	224
[GRID]
#grid_width	grid_height
128	224
[DEFAULT]
850	2957
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma, 20 = bullet
#object type: 80 = gatescene, 81 = brokenable-brick
#object	type:	50	=	hpbar
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	40	2840	0	128
15	88	2840	0	128
15	104	2840	0	128
15	152	2840	1	128
15	168	2840	1	128
15	216	2840	1	128
15	232	2840	1	128
15	280	2840	2	128
15	296	2840	2	128
15	344	2840	2	128
15	360	2840	2	128
15	408	2840	3	128
15	424	2840	3	128
15	472	2840	3	128
15	488	2840	3	128
15	536	2840	4	128
15	552	2840	4	128
15	600	2840	4	128
15	616	2840	4	128
15	664	2840	5	128
15	680	2840	5	128
15	728	2840	5	128
15	744	2840	5	128
15	792	2840	6	128
15	808	2840	6	128
15	856	2840	6	128
15	872	2840	6	128
15	920	2840	7	128
15	936	2840	7	128
15	952	2840	7	128
15	968	2840	7	128
15	24	2856	0	104
15	56	2856	0	100
15	72	2856	0	101
15	120	2856	0	100
15	136	2856	1	101
15	184	2856	1	100
15	200	2856	1	101
15	248	2856	1	100
15	264	2856	2	101
15	312	2856	2	100
15	328	2856	2	101
15	376	2856	2	100
15	392	2856	3	101
15	440	2856	3	100
15	456	2856	3	101
15	504	2856	3	100
15	520	2856	4	101
15	568	2856	4	100
15	584	2856	4	101
15	632	2856	4	100
15	648	2856	5	101
15	696	2856	5	100
15	712	2856	5	101
15	760	2856	5	100
15	776	2856	6	101
15	824	2856	6	100
15	840	2856	6	101
15	888	2856	6	100
15	904	2856	7	101
15	952	2856	7	102
15	24	2872	0	115
15	56	2872	0	122
15	72	2872	0	123
15	120	2872	0	111
15	136	2872	1	112
15	184	2872	1	122
15	200	2872	1	123
15	248	2872	1	111
15	264	2872	2	112
15	312	2872	2	111
15	328	2872	2	112
15	376	2872	2	122
15	392	2872	3	123
15	440	2872	3	122
15	456	2872	3	123
15	504	2872	3	111
15	520	2872	4	112
15	568	2872	4	122
15	584	2872	4	123
15	632	2872	4	111
15	648	2872	5	112
15	696	2872	5	122
15	712	2872	5	123
15	760	2872	5	122
15	776	2872	6	123
15	824	2872	6	111
15	840	2872	6	112
15	888	2872	6	111
15	904	2872	7	112
15	952	2872	7	113
15	24	2888	0	115
15	120	2888	0	122
15	136	2888	1	123
15	248	2888	1	111
15	264	2888	2	112
15	312	2888	2	122
15	328	2888	2	123
15	504	2888	3	122
15	520	2888	4	123
15	632	2888	4	111
15	648	2888	5	112
15	824	2888	6	122
15	840	2888	6	123
15	888	2888	6	111
15	904	2888	7	112
15	952	2888	7	113
15	24	2904	0	115
15	248	2904	1	111
15	264	2904	2	112
15	632	2904	4	111
15	648	2904	5	112
15	888	2904	6	111
15	904	2904	7	112
15	952	2904	7	113
15	24	2920	0	104
15	248	2920	1	122
15	264	2920	2	123
15	632	2920	4	122
15	648	2920	5	123
15	888	2920	6	122
15	904	2920	7	123
15	952	2920	7	113
15	24	2936	0	115
15	952	2936	7	113
15	24	2952	0	115
15	968	2952	7	127
15	24	2968	0	115
17	968	2968	7	106	16	16	2	1102	2964
15	40	2984	0	24
15	56	2984	0	25
15	72	2984	0	26
15	88	2984	0	23
15	104	2984	0	24
15	120	2984	0	25
15	136	2984	1	26
