[MAP]
#x	y	width	height
1024	1808	512	1248
[GRID]
#grid_width	grid_height
128	156
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
13	1200	2926	29	13
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1144	1832	0	65
15	1160	1832	1	64
15	1208	1832	1	65
15	1224	1832	1	64
15	1272	1832	1	65
15	1288	1832	2	64
15	1064	1848	0	66
15	1080	1848	0	64
15	1096	1848	0	65
15	1112	1848	0	66
15	1128	1848	0	66
16	1144	1848	0	126
16	1160	1848	1	126
15	1176	1848	1	66
15	1192	1848	1	66
16	1208	1848	1	126
16	1224	1848	1	126
15	1240	1848	1	66
15	1256	1848	1	66
16	1272	1848	1	126
16	1288	1848	2	126
15	1304	1848	2	66
15	1320	1848	2	66
15	1336	1848	2	64
15	1352	1848	2	65
15	1368	1848	2	66
15	1384	1848	2	66
15	1400	1848	2	64
15	1416	1848	3	65
15	1432	1848	3	66
15	1448	1848	3	66
15	1464	1848	3	64
15	1480	1848	3	65
15	1496	1848	3	66
15	1048	1864	0	65
15	1512	1864	3	64
15	1048	1880	0	66
15	1512	1880	3	66
15	1048	1896	0	65
15	1128	1896	0	64
15	1144	1896	0	65
15	1160	1896	1	64
15	1176	1896	1	65
15	1192	1896	1	64
15	1208	1896	1	65
15	1224	1896	1	64
15	1240	1896	1	65
15	1256	1896	1	64
15	1272	1896	1	65
15	1288	1896	2	64
15	1304	1896	2	65
15	1320	1896	2	64
15	1336	1896	2	65
15	1352	1896	2	64
15	1368	1896	2	65
15	1448	1896	3	64
15	1464	1896	3	65
15	1480	1896	3	64
15	1496	1896	3	65
15	1048	1912	0	66
15	1128	1912	0	66
15	1144	1912	0	64
15	1160	1912	1	65
15	1176	1912	1	66
15	1192	1912	1	66
15	1208	1912	1	64
15	1224	1912	1	65
15	1240	1912	1	66
15	1256	1912	1	66
15	1272	1912	1	64
15	1288	1912	2	65
15	1304	1912	2	66
15	1320	1912	2	66
15	1336	1912	2	64
15	1352	1912	2	65
15	1368	1912	2	66
15	1448	1912	3	66
15	1464	1912	3	64
15	1480	1912	3	65
15	1048	1928	0	65
15	1288	1928	2	66
15	1304	1928	2	66
15	1480	1928	3	46
15	1048	1944	0	66
15	1288	1944	2	66
15	1304	1944	2	66
17	1480	1944	3	57	16	16	3	1612	1940
15	1064	1960	0	64
15	1080	1960	0	65
15	1096	1960	0	64
15	1112	1960	0	65
15	1128	1960	0	64
15	1144	1960	0	65
15	1160	1960	1	64
15	1176	1960	1	65
15	1288	1960	2	66
15	1304	1960	2	66
15	1384	1960	2	64
15	1400	1960	2	65
15	1416	1960	3	64
15	1432	1960	3	65
15	1448	1960	3	64
15	1464	1960	3	65
15	1480	1960	3	64
15	1064	1976	4	66
15	1080	1976	4	64
15	1096	1976	4	65
15	1112	1976	4	66
15	1128	1976	4	66
15	1144	1976	4	64
15	1160	1976	5	65
15	1176	1976	5	66
15	1288	1976	6	66
15	1304	1976	6	66
15	1384	1976	6	66
15	1400	1976	6	64
15	1416	1976	7	65
15	1432	1976	7	66
15	1448	1976	7	66
15	1464	1976	7	64
15	1480	1976	7	65
15	1496	1976	7	66
15	1048	1992	4	65
15	1288	1992	6	66
15	1304	1992	6	66
15	1512	1992	7	64
15	1048	2008	4	66
15	1288	2008	6	117
15	1304	2008	6	117
15	1512	2008	7	66
15	1048	2024	4	65
15	1128	2024	4	64
15	1144	2024	4	65
15	1160	2024	5	64
15	1176	2024	5	65
15	1192	2024	5	64
15	1208	2024	5	65
15	1224	2024	5	64
