[MAP]
#x	y	width	height
1536	1808	512	224
[GRID]
#grid_width	grid_height
128	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
10	1768	1919	0	10
10	1866	1919	0	10
10	1965	1919	0	10
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1592	1864	0	51
15	1608	1864	0	51
15	1624	1864	0	51
15	1656	1864	0	51
15	1672	1864	1	51
15	1688	1864	1	51
15	1720	1864	1	51
15	1736	1864	1	51
15	1752	1864	1	51
15	1784	1864	1	51
15	1800	1864	2	51
15	1816	1864	2	51
15	1848	1864	2	51
15	1864	1864	2	51
15	1880	1864	2	51
15	1912	1864	2	51
15	1928	1864	3	51
15	1944	1864	3	51
15	1976	1864	3	51
15	1992	1864	3	51
15	2008	1864	3	51
15	1576	1880	0	51
15	1640	1880	0	51
15	1704	1880	1	51
15	1768	1880	1	51
15	1832	1880	2	51
15	1896	1880	2	51
15	1960	1880	3	51
15	2024	1880	3	51
15	1576	1896	0	51
15	1640	1896	0	51
15	1704	1896	1	51
15	1768	1896	1	51
15	1832	1896	2	51
15	1896	1896	2	51
15	1960	1896	3	51
15	2024	1896	3	51
15	1560	1912	0	51
15	2024	1912	3	51
15	1560	1928	0	51
15	1576	1928	0	48
15	1592	1928	0	49
15	1992	1928	3	46
15	2008	1928	3	47
15	2024	1928	3	51
15	1560	1944	0	51
17	1592	1944	0	60	16	16	2	1460	1940
17	1992	1944	3	57	16	16	4	2123	1940
15	2024	1944	3	51
15	1576	1960	0	51
15	1592	1960	0	51
15	1608	1960	0	51
15	1624	1960	0	51
15	1640	1960	0	51
15	1656	1960	0	51
15	1672	1960	1	51
15	1688	1960	1	51
15	1704	1960	1	51
15	1720	1960	1	51
15	1736	1960	1	51
15	1752	1960	1	51
15	1768	1960	1	51
15	1784	1960	1	51
15	1800	1960	2	51
15	1816	1960	2	51
15	1832	1960	2	51
15	1848	1960	2	51
15	1864	1960	2	51
15	1880	1960	2	51
15	1896	1960	2	51
15	1912	1960	2	51
15	1928	1960	3	51
15	1944	1960	3	51
15	1960	1960	3	51
15	1976	1960	3	51
15	1992	1960	3	51
15	2008	1960	3	51
