[MAP]
#x	y	width	height
2048	1056	512	976
[GRID]
#grid_width	grid_height
128	122
[DEFAULT]
2170	1930
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
9	2158	1577	16	9
9	2195	1590	16	9
11	2330	1930	28	11
11	2240	2010	29	11
4	2253	1320	9	4
4	2365	1448	14	4
4	2237	1576	17	4
4	2125	1768	20	4
4	2301	1768	21	4
4	2237	1832	25	4
4	2125	1886	24	4
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	2072	1080	0	66
15	2088	1080	0	66
15	2104	1080	0	64
15	2120	1080	0	65
15	2136	1080	0	66
15	2152	1080	0	66
15	2168	1080	0	64
15	2184	1080	1	65
15	2200	1080	1	66
15	2216	1080	1	66
15	2232	1080	1	64
15	2248	1080	1	65
15	2264	1080	1	66
15	2280	1080	1	66
15	2296	1080	1	64
15	2312	1080	2	65
15	2328	1080	2	66
15	2344	1080	2	66
15	2360	1080	2	64
15	2376	1080	2	65
15	2392	1080	2	66
15	2408	1080	2	66
15	2424	1080	2	64
15	2440	1080	3	65
15	2456	1080	3	66
15	2472	1080	3	66
15	2488	1080	3	64
15	2504	1080	3	65
15	2520	1080	3	66
15	2536	1080	3	66
15	2072	1096	0	65
15	2536	1096	3	64
15	2072	1112	0	66
15	2536	1112	3	66
15	2088	1128	0	64
15	2104	1128	0	65
15	2120	1128	0	64
15	2136	1128	0	65
15	2408	1128	2	64
15	2424	1128	2	65
15	2440	1128	3	64
15	2456	1128	3	65
15	2536	1128	3	64
15	2088	1144	0	66
15	2104	1144	0	64
15	2120	1144	0	65
15	2136	1144	0	66
15	2408	1144	2	66
15	2424	1144	2	64
15	2440	1144	3	65
15	2456	1144	3	66
15	2536	1144	3	66
15	2072	1160	0	65
15	2104	1160	0	49
15	2536	1160	3	64
15	2072	1176	0	66
17	2104	1176	0	60	16	16	6	1972	1174
15	2536	1176	3	66
15	2088	1192	4	64
15	2104	1192	4	65
15	2120	1192	4	64
15	2136	1192	4	65
15	2536	1192	7	64
15	2088	1208	4	66
15	2104	1208	4	64
15	2120	1208	4	65
15	2136	1208	4	66
15	2536	1208	7	66
15	2072	1224	4	65
15	2536	1224	7	64
