[MAP]
#x	y	width	height
2560	1808	512	224
[GRID]
#grid_width	grid_height
128	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DEFAULT]
2640	1934
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	2616	1864	0	51
15	2632	1864	0	51
15	2648	1864	0	51
15	2680	1864	0	51
15	2696	1864	1	51
15	2712	1864	1	51
15	2744	1864	1	51
15	2760	1864	1	51
15	2776	1864	1	51
15	2808	1864	1	51
15	2824	1864	2	51
15	2840	1864	2	51
15	2872	1864	2	51
15	2888	1864	2	51
15	2904	1864	2	51
15	2936	1864	2	51
15	2952	1864	3	51
15	2968	1864	3	51
15	3000	1864	3	51
15	3016	1864	3	51
15	3032	1864	3	51
15	2600	1880	0	51
15	2664	1880	0	51
15	2728	1880	1	51
15	2792	1880	1	51
15	2856	1880	2	51
15	2920	1880	2	51
15	2984	1880	3	51
15	3048	1880	3	51
15	2600	1896	0	51
15	2664	1896	0	51
15	2728	1896	1	51
15	2792	1896	1	51
15	2856	1896	2	51
15	2920	1896	2	51
15	2984	1896	3	51
15	3048	1896	3	51
15	2584	1912	0	51
15	3048	1912	3	51
15	2600	1928	0	48
15	2616	1928	0	49
15	3016	1928	3	4
15	3032	1928	3	5
17	2616	1944	0	60	16	16	4	2484	1940
80	3016	1944	3	15	16	16	3	31	70	118
15	2584	1960	0	51
15	2600	1960	0	51
15	2616	1960	0	51
15	2632	1960	0	51
15	2648	1960	0	51
15	2664	1960	0	51
15	2680	1960	0	51
15	2696	1960	1	51
15	2712	1960	1	51
15	2728	1960	1	51
15	2744	1960	1	51
15	2760	1960	1	51
15	2776	1960	1	51
15	2792	1960	1	51
15	2808	1960	1	51
15	2824	1960	2	51
15	2840	1960	2	51
15	2856	1960	2	51
15	2872	1960	2	51
15	2888	1960	2	51
15	2904	1960	2	51
15	2920	1960	2	51
15	2936	1960	2	51
15	2952	1960	3	51
15	2968	1960	3	51
15	2984	1960	3	51
15	3000	1960	3	51
15	3016	1960	3	51
15	3032	1960	3	51
