[MAP]
#x	y	width	height
1536	16	512	1760
[GRID]
#grid_width	grid_height
128	220
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = arrow, 17 = Gate, 18 = ladder, 19 = magma
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
1	1964	655	0	1
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1576	56	0	61
15	1592	56	0	62
15	1608	56	0	63
15	1624	56	0	61
15	1640	56	0	61
15	1656	56	0	62
15	1672	56	1	63
15	1688	56	1	61
15	1704	56	1	61
15	1720	56	1	62
15	1736	56	1	63
15	1752	56	1	61
15	1768	56	1	61
15	1784	56	1	62
15	1800	56	2	63
15	1816	56	2	61
15	1832	56	2	61
15	1848	56	2	62
15	1864	56	2	63
15	1880	56	2	61
15	1896	56	2	61
15	1912	56	2	62
15	1928	56	3	63
15	1944	56	3	61
15	1960	56	3	61
15	1976	56	3	62
15	1992	56	3	63
15	2008	56	3	61
15	1560	72	0	63
15	2024	72	3	62
15	1560	88	0	61
15	2024	88	3	61
15	1560	104	0	63
15	1960	104	3	62
15	1976	104	3	63
15	1992	104	3	62
15	2008	104	3	63
15	1560	120	0	61
15	1960	120	3	61
15	1976	120	3	62
15	1992	120	3	63
15	1560	136	0	63
17	1616	144	0	4	5	15	16	-1	-1	-1
17	2000	144	3	46	47	57	58	7	2123	150
15	1560	152	0	61
18	1592	152	0	8
15	1560	168	0	63
15	1576	168	0	62
18	1592	168	0	8
15	1608	168	0	62
15	1624	168	0	63
15	1768	168	1	62
15	1784	168	1	63
15	1800	168	2	62
15	1816	168	2	63
15	1960	168	3	62
15	1976	168	3	63
15	1992	168	3	62
15	1560	184	0	61
15	1576	184	0	61
18	1592	184	0	8
15	1608	184	0	63
15	1624	184	0	61
15	1768	184	1	61
15	1784	184	1	62
15	1800	184	2	63
15	1816	184	2	61
15	1960	184	3	61
15	1976	184	3	62
15	1992	184	3	63
15	2008	184	3	61
15	1560	200	0	63
18	1592	200	0	8
15	2024	200	3	62
15	1560	216	0	61
18	1592	216	0	8
15	2024	216	3	61
15	1560	232	0	63
18	1592	232	0	8
15	1832	232	2	62
15	1848	232	2	63
15	1864	232	2	62
15	1880	232	2	63
15	1896	232	2	62
15	1912	232	2	63
15	1928	232	3	62
15	1944	232	3	63
15	2024	232	3	62
15	1560	248	4	61
18	1592	248	4	8
15	1832	248	6	61
15	1848	248	6	62
15	1864	248	6	63
15	1880	248	6	61
15	1896	248	6	61
15	1912	248	6	62
15	1928	248	7	63
15	1944	248	7	61
15	2024	248	7	61
15	1560	264	4	63
18	1592	264	4	8
15	2024	264	7	62
15	1560	280	4	61
18	1592	280	4	8
15	2024	280	7	61
15	1560	296	4	63
18	1592	296	4	8
15	1768	296	5	62
15	1784	296	5	63
15	1800	296	6	62
15	1816	296	6	63
15	2024	296	7	62
15	1560	312	4	61
18	1592	312	4	8
15	1768	312	5	61
15	1784	312	5	62
15	1800	312	6	63
15	1816	312	6	61
15	2024	312	7	61
15	1560	328	4	63
18	1592	328	4	8
15	2024	328	7	62
15	1560	344	4	61
18	1592	344	4	8
15	2024	344	7	61
15	1560	360	4	63
15	1576	360	4	62
15	1592	360	4	63
15	1608	360	4	62
15	1624	360	4	63
19	1640	360	4	107
19	1656	360	4	107
19	1672	360	5	107
19	1688	360	5	107
15	1704	360	5	62
15	1720	360	5	63
15	1736	360	5	62
15	1752	360	5	63
15	1768	360	5	62
15	1784	360	5	63
15	1800	360	6	62
15	1816	360	6	63
15	1832	360	6	62
15	1848	360	6	63
15	1864	360	6	62
15	1880	360	6	63
15	1960	360	7	62
15	1976	360	7	63
15	1992	360	7	62
15	2008	360	7	63
15	2024	360	7	62
15	1560	376	4	61
15	1576	376	4	61
15	1592	376	4	62
15	1608	376	4	63
15	1624	376	4	61
15	1640	376	4	61
15	1656	376	4	62
15	1672	376	5	63
15	1688	376	5	61
15	1704	376	5	61
15	1720	376	5	62
15	1736	376	5	63
15	1752	376	5	61
15	1768	376	5	61
15	1784	376	5	62
15	1800	376	6	63
15	1816	376	6	61
15	1832	376	6	61
15	1848	376	6	62
15	1864	376	6	63
15	1880	376	6	61
15	1960	376	7	61
15	1976	376	7	62
15	1992	376	7	63
15	2008	376	7	61
15	2024	376	7	61
15	1560	392	4	63
15	2024	392	7	62
15	1560	408	4	61
15	2024	408	7	61
15	1560	424	4	63
15	1896	424	6	62
15	1912	424	6	63
15	1928	424	7	62
15	1944	424	7	63
15	2024	424	7	62
15	1560	440	4	61
15	1896	440	6	61
15	1912	440	6	62
15	1928	440	7	63
15	1944	440	7	61
15	2024	440	7	61
15	1560	456	8	63
15	2024	456	11	62
15	1560	472	8	61
15	2024	472	11	61
15	1576	488	8	62
15	1592	488	8	63
15	1608	488	8	62
15	1624	488	8	63
15	1704	488	9	62
15	1720	488	9	63
15	1736	488	9	62
15	1752	488	9	63
19	1768	488	9	107
19	1784	488	9	107
19	1800	488	10	107
19	1816	488	10	107
15	1832	488	10	62
15	1848	488	10	63
15	1864	488	10	62
15	1880	488	10	63
15	1896	488	10	62
15	1912	488	10	63
15	1928	488	11	62
15	1944	488	11	63
15	1960	488	11	62
15	1976	488	11	63
15	1992	488	11	62
15	2008	488	11	63
15	1576	504	8	61
15	1592	504	8	62
15	1608	504	8	63
15	1624	504	8	61
15	1704	504	9	61
15	1720	504	9	62
15	1736	504	9	63
15	1752	504	9	61
15	1768	504	9	61
15	1784	504	9	62
15	1800	504	10	63
15	1816	504	10	61
15	1832	504	10	61
15	1848	504	10	62
15	1864	504	10	63
15	1880	504	10	61
15	1896	504	10	61
15	1912	504	10	62
15	1928	504	11	63
15	1944	504	11	61
15	1960	504	11	61
15	1976	504	11	62
15	1992	504	11	63
15	2008	504	11	61
15	1560	520	8	63
15	2024	520	11	62
15	1560	536	8	61
15	2024	536	11	61
15	1560	552	8	63
15	1640	552	8	62
15	1656	552	8	63
15	1672	552	9	62
15	1688	552	9	63
15	2024	552	11	62
15	1560	568	8	61
15	1640	568	8	61
15	1656	568	8	62
15	1672	568	9	63
15	1688	568	9	61
15	2024	568	11	61
15	1560	584	8	63
15	2024	584	11	62
15	1560	600	8	61
15	2024	600	11	61
15	1576	616	8	62
15	1592	616	8	63
15	1608	616	8	62
