[MAP]
#x	y	width	height
2048	528	512	224
[GRID]
#grid_width	grid_height
128	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = arrow, 17 = Gate, 18 = ladder, 19 = magma
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	2088	568	0	61
15	2104	568	0	62
15	2120	568	0	63
15	2136	568	0	61
15	2152	568	0	61
15	2168	568	0	62
15	2184	568	1	63
15	2200	568	1	61
15	2216	568	1	61
15	2232	568	1	62
15	2248	568	1	63
15	2264	568	1	61
15	2280	568	1	61
15	2296	568	1	62
15	2312	568	2	63
15	2328	568	2	61
15	2344	568	2	61
15	2360	568	2	62
15	2376	568	2	63
15	2392	568	2	61
15	2408	568	2	61
15	2424	568	2	62
15	2440	568	3	63
15	2456	568	3	61
15	2472	568	3	61
15	2488	568	3	62
15	2504	568	3	63
15	2520	568	3	61
15	2072	584	0	63
15	2536	584	3	62
15	2072	600	0	61
15	2536	600	3	61
15	2072	616	0	63
15	2088	616	0	62
15	2104	616	0	63
15	2120	616	0	62
15	2136	616	0	63
15	2536	616	3	62
15	2088	632	0	61
15	2104	632	0	62
15	2120	632	0	63
15	2136	632	0	61
15	2536	632	3	61
17	2096	656	0	48	49	59	60	5	1972	663
15	2536	648	3	62
15	2536	664	3	61
15	2088	680	0	62
15	2104	680	0	63
15	2120	680	0	62
15	2136	680	0	63
15	2536	680	3	62
15	2072	696	0	61
15	2088	696	0	61
15	2104	696	0	62
15	2120	696	0	63
15	2136	696	0	61
15	2536	696	3	61
15	2072	712	0	63
17	2448	720	3	4	5	15	16	-1	-1	-1
15	2536	712	3	62
15	2072	728	0	61
15	2536	728	3	61
15	2088	744	0	62
15	2104	744	0	63
15	2120	744	0	62
15	2136	744	0	63
15	2152	744	0	62
15	2168	744	0	63
15	2184	744	1	62
15	2200	744	1	63
15	2216	744	1	62
15	2232	744	1	63
15	2248	744	1	62
15	2264	744	1	63
15	2280	744	1	62
15	2296	744	1	63
15	2312	744	2	62
15	2328	744	2	63
15	2344	744	2	62
15	2360	744	2	63
15	2376	744	2	62
15	2392	744	2	63
15	2408	744	2	62
15	2424	744	2	63
15	2440	744	3	62
15	2456	744	3	63
15	2472	744	3	62
15	2488	744	3	63
15	2504	744	3	62
15	2520	744	3	63
