[MAP]
#x	y	width	height
2048	16	512	224
[GRID]
#grid_width	grid_height
128	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DEFAULT]
2135	140
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
9	2365	80	0	9
9	2415	80	0	9
9	2460	80	0	9
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	2120	24	0	51
15	2136	24	0	51
15	2200	24	1	51
15	2216	24	1	51
15	2232	24	1	51
15	2248	24	1	51
15	2264	24	1	51
15	2312	24	2	51
15	2328	24	2	51
15	2344	24	2	51
15	2392	24	2	51
15	2440	24	3	51
15	2456	24	3	51
15	2520	24	3	51
15	2088	40	0	50
15	2104	40	0	52
15	2152	40	0	50
15	2168	40	0	51
15	2184	40	1	52
15	2216	40	1	50
15	2232	40	1	52
15	2280	40	1	50
15	2296	40	1	52
15	2344	40	2	50
15	2376	40	2	52
15	2408	40	2	50
15	2424	40	2	52
15	2472	40	3	50
15	2504	40	3	52
15	2536	40	3	51
15	2072	56	0	51
15	2168	56	0	50
15	2184	56	1	52
15	2360	56	2	50
15	2376	56	2	52
15	2488	56	3	50
15	2504	56	3	52
15	2536	56	3	51
15	2072	72	0	51
15	2536	72	3	51
15	2072	88	0	51
15	2536	88	3	51
15	2072	104	0	51
15	2536	104	3	51
15	2072	120	0	51
15	2536	120	3	51
15	2088	136	0	48
15	2104	136	0	49
15	2504	136	3	46
15	2520	136	3	47
15	2536	136	3	51
17	2104	152	0	60	16	16	6	1972	150
17	2504	152	3	57	16	16	9	2634	150
15	2536	152	3	51
15	2088	168	0	64
15	2104	168	0	65
15	2120	168	0	64
15	2136	168	0	65
15	2216	168	1	64
15	2232	168	1	65
15	2248	168	1	64
15	2264	168	1	65
15	2344	168	2	64
15	2360	168	2	65
15	2376	168	2	64
15	2392	168	2	65
15	2472	168	3	64
15	2488	168	3	65
15	2504	168	3	64
15	2520	168	3	65
15	2536	168	3	51
15	2136	184	0	51
15	2216	184	1	51
15	2264	184	1	51
15	2344	184	2	51
15	2392	184	2	51
15	2472	184	3	51
15	2152	200	0	64
15	2168	200	0	65
15	2184	200	1	64
15	2200	200	1	65
15	2216	200	1	51
15	2264	200	1	51
15	2280	200	1	64
15	2296	200	1	65
15	2312	200	2	64
15	2328	200	2	65
15	2344	200	2	51
15	2392	200	2	51
15	2408	200	2	64
15	2424	200	2	65
15	2440	200	3	64
15	2456	200	3	65
15	2472	200	3	51
