[MAP]
#x	y	width	height
2560	16	512	496
[GRID]
#grid_width	grid_height
128	248
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DEFAULT]
2649	140
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
8	2672	155	0	8
8	2700	90	0	8
6	2700	55	0	6
6	2813	55	0	6
6	2895	55	0	6
6	2970	55	0	6
9	3010	100	0	9
9	3010	157	0	9
9	3010	220	0	9
9	3010	281	0	9
8	2993	351	0	8
8	2750	450	0	8
9	2964	445	0	9
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	2600	24	0	51
15	2616	24	0	51
15	2632	24	0	51
15	2648	24	0	51
15	2664	24	0	51
15	2680	24	0	51
15	2696	24	1	51
15	2712	24	1	51
15	2728	24	1	51
15	2744	24	1	51
15	2760	24	1	51
15	2776	24	1	51
15	2792	24	1	51
15	2808	24	1	51
15	2824	24	2	51
15	2840	24	2	51
15	2856	24	2	51
15	2872	24	2	51
15	2888	24	2	51
15	2904	24	2	51
15	2920	24	2	51
15	2936	24	2	51
15	2952	24	3	51
15	2968	24	3	51
15	2984	24	3	51
15	3000	24	3	51
15	3016	24	3	51
15	3032	24	3	51
15	2584	40	0	51
15	3048	40	3	51
15	2584	56	0	51
15	3048	56	3	51
15	2584	72	0	51
15	3048	72	3	51
15	2584	88	0	51
15	3048	88	3	51
15	2584	104	0	51
15	2728	104	1	51
15	2744	104	1	51
15	2760	104	1	51
15	2776	104	1	51
15	2792	104	1	51
19	2808	104	1	107
19	2824	104	2	107
15	2840	104	2	51
15	2856	104	2	51
19	2872	104	2	107
19	2888	104	2	107
15	2904	104	2	51
15	2920	104	2	51
15	2936	104	2	51
15	2952	104	3	51
15	2968	104	3	51
15	3048	104	3	51
15	2584	120	0	51
15	2696	120	1	51
15	2712	120	1	51
15	2728	120	1	51
15	2808	120	1	51
15	2824	120	2	51
15	2872	120	2	51
15	2888	120	2	51
15	2984	120	3	51
15	3000	120	3	51
15	3048	120	3	51
15	2600	136	0	48
15	2616	136	0	49
15	2728	136	1	51
15	2968	136	3	51
15	3048	136	3	51
17	2616	152	0	60	16	16	8	2485	150
15	2728	152	1	51
15	2744	152	1	51
15	2760	152	1	51
15	2776	152	1	51
15	2792	152	1	51
15	2808	152	1	51
15	2824	152	2	51
15	2840	152	2	51
15	2856	152	2	51
15	2872	152	2	51
15	2888	152	2	51
15	2904	152	2	51
15	2968	152	3	51
15	3048	152	3	51
15	2600	168	0	51
15	2616	168	0	51
15	2632	168	0	51
15	2648	168	0	51
15	2920	168	2	51
15	2968	168	3	51
15	3048	168	3	51
15	2648	184	0	51
15	2664	184	0	51
15	2680	184	0	51
15	2920	184	2	51
15	2968	184	3	51
15	3016	184	3	51
15	3032	184	3	51
15	2648	200	0	51
15	2920	200	2	51
15	2968	200	3	51
15	3048	200	3	51
15	2648	216	0	51
15	2920	216	2	51
15	2968	216	3	51
15	3048	216	3	51
15	2664	232	0	51
15	2680	232	0	51
15	2696	232	1	51
15	2712	232	1	51
15	2728	232	1	51
15	2744	232	1	51
15	2760	232	1	51
15	2776	232	1	51
15	2792	232	1	51
15	2808	232	1	51
15	2824	232	2	51
15	2840	232	2	51
15	2856	232	2	51
15	2872	232	2	51
15	2888	232	2	51
15	2904	232	2	51
15	2920	232	2	51
15	2936	232	2	51
15	2952	232	3	51
15	2968	232	3	51
15	3048	232	3	51
15	2968	248	3	51
15	2984	248	3	51
15	3000	248	3	51
15	3048	248	3	51
15	2968	264	7	51
15	3048	264	7	51
15	2600	280	4	51
15	2616	280	4	51
15	2632	280	4	51
15	2648	280	4	51
15	2664	280	4	51
15	2680	280	4	51
15	2696	280	5	51
15	2712	280	5	51
15	2728	280	5	51
15	2744	280	5	51
15	2760	280	5	51
15	2776	280	5	51
15	2792	280	5	51
15	2808	280	5	51
15	2824	280	6	51
15	2840	280	6	51
15	2856	280	6	51
15	2872	280	6	51
15	2888	280	6	51
15	2904	280	6	51
15	2920	280	6	51
15	2936	280	6	51
15	2952	280	7	51
15	2968	280	7	51
15	3048	280	7	51
15	2584	296	4	51
15	2728	296	5	51
15	2776	296	5	51
15	3048	296	7	51
15	2584	312	4	51
15	2728	312	5	51
15	2776	312	5	51
15	3016	312	7	51
15	3032	312	7	51
15	2584	328	4	51
15	2728	328	5	51
15	2776	328	5	51
15	3048	328	7	51
15	2584	344	4	51
15	2728	344	5	51
15	2776	344	5	51
15	3048	344	7	51
15	2584	360	4	51
15	2728	360	5	51
15	2776	360	5	51
15	2856	360	6	51
15	2872	360	6	51
15	2888	360	6	51
15	2904	360	6	51
15	2920	360	6	51
19	2936	360	6	107
19	2952	360	7	107
15	2968	360	7	51
15	3048	360	7	51
15	2584	376	4	51
15	2696	376	5	51
15	2712	376	5	51
15	2728	376	5	51
15	2776	376	5	51
15	2792	376	5	51
15	2808	376	5	51
15	2856	376	6	51
15	2936	376	6	51
15	2952	376	7	51
15	2984	376	7	51
15	3000	376	7	51
15	3048	376	7	51
15	2600	392	4	48
15	2616	392	4	49
15	2728	392	5	51
15	2776	392	5	51
15	2856	392	6	51
15	2968	392	7	51
15	3048	392	7	51
17	2616	408	4	60	16	16	10	2485	405
15	2728	408	5	51
15	2744	408	5	51
15	2760	408	5	51
15	2776	408	5	51
15	2856	408	6	51
15	2920	408	6	51
15	2936	408	6	51
15	2952	408	7	51
15	2968	408	7	51
15	3048	408	7	51
15	2600	424	4	51
15	2616	424	4	51
15	2632	424	4	51
15	2648	424	4	51
15	2856	424	6	51
15	2904	424	6	51
15	3048	424	7	51
15	2648	440	4	51
15	2664	440	4	51
15	2680	440	4	51
15	2824	440	6	51
15	2840	440	6	51
15	2856	440	6	51
15	2904	440	6	51
15	3016	440	7	51
15	3032	440	7	51
15	2648	456	4	51
15	2856	456	6	51
15	2904	456	6	51
15	3048	456	7	51
15	2648	472	4	51
15	2856	472	6	51
15	2904	472	6	51
15	3048	472	7	51
15	2648	488	4	51
15	2664	488	4	51
19	2680	488	4	107
19	2696	488	5	107
15	2712	488	5	51
15	2728	488	5	51
15	2744	488	5	51
15	2760	488	5	51
15	2776	488	5	51
15	2792	488	5	51
19	2808	488	5	107
19	2824	488	6	107
15	2840	488	6	51
15	2920	488	6	51
15	2936	488	6	51
15	2952	488	7	51
15	2968	488	7	51
15	2984	488	7	51
15	3000	488	7	51
15	3016	488	7	51
15	3032	488	7	51
15	2680	504	4	51
15	2696	504	5	51
15	2808	504	5	51
15	2824	504	6	51
