[MAP]
#x	y	width	height
2048	272	512	224
[GRID]
#grid_width	grid_height
128	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	2088	312	0	62
15	2104	312	0	63
15	2120	312	0	62
15	2136	312	0	63
15	2152	312	0	62
15	2168	312	0	63
15	2184	312	1	62
15	2200	312	1	63
15	2216	312	1	62
15	2232	312	1	63
15	2248	312	1	62
15	2264	312	1	63
15	2280	312	1	62
15	2296	312	1	63
15	2312	312	2	62
15	2328	312	2	63
15	2344	312	2	62
15	2360	312	2	63
15	2376	312	2	62
15	2392	312	2	63
15	2408	312	2	62
15	2424	312	2	63
15	2440	312	3	62
15	2456	312	3	63
15	2472	312	3	62
15	2488	312	3	63
15	2504	312	3	62
15	2520	312	3	63
15	2072	328	0	51
15	2536	328	3	51
15	2072	344	0	51
15	2536	344	3	51
15	2072	360	0	51
15	2536	360	3	51
15	2072	376	0	51
15	2536	376	3	51
15	2072	392	0	51
15	2504	392	3	46
15	2520	392	3	47
15	2072	408	0	51
17	2504	408	3	57	16	16	9	2634	405
15	2072	424	0	51
15	2120	424	0	4
15	2136	424	0	5
15	2472	424	3	62
15	2488	424	3	63
15	2504	424	3	51
15	2072	440	0	51
17	2120	440	0	15	16	16	-1	-1	-1
15	2136	440	0	16
15	2472	440	3	51
15	2088	456	0	62
15	2104	456	0	63
15	2120	456	0	62
15	2136	456	0	63
15	2152	456	0	62
15	2168	456	0	63
15	2184	456	1	62
15	2200	456	1	63
15	2216	456	1	62
15	2232	456	1	63
15	2248	456	1	62
15	2264	456	1	63
15	2280	456	1	62
15	2296	456	1	63
15	2312	456	2	62
15	2328	456	2	63
15	2344	456	2	62
15	2360	456	2	63
15	2376	456	2	62
15	2392	456	2	63
15	2408	456	2	62
15	2424	456	2	63
15	2440	456	3	62
15	2456	456	3	63
