[MAP]
#x	y	width	height
1280	1040	256	224
[GRID]
#grid_width	grid_height
128	224
[DEFAULT]
1450	1160
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick, 82 = gate to area 3(ending)
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1320	1080	0	62
15	1336	1080	0	63
15	1352	1080	0	62
15	1368	1080	0	63
15	1384	1080	0	62
15	1400	1080	0	63
15	1416	1080	1	62
15	1432	1080	1	63
15	1448	1080	1	62
15	1464	1080	1	63
15	1480	1080	1	62
15	1496	1080	1	63
15	1304	1096	0	51
15	1512	1096	1	51
15	1304	1112	0	51
15	1512	1112	1	51
15	1304	1128	0	51
15	1512	1128	1	51
15	1304	1144	0	51
15	1512	1144	1	51
15	1304	1160	0	51
15	1480	1160	1	46
15	1496	1160	1	47
15	1512	1160	1	51
15	1304	1176	0	51
17	1480	1176	1	57	16	16	6	1610	1174
15	1304	1192	0	51
15	1448	1192	1	62
15	1464	1192	1	63
15	1480	1192	1	51
15	1304	1208	0	51
82	1336	1208	0	12
15	1448	1208	1	51
15	1320	1224	0	62
15	1336	1224	0	63
15	1352	1224	0	62
15	1368	1224	0	63
15	1384	1224	0	62
15	1400	1224	0	63
15	1416	1224	1	62
15	1432	1224	1	63
15	1448	1224	1	51
