[MAP]
#x	y	width	height
768	1552	768	224
[GRID]
#grid_width	grid_height
192	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	808	1592	0	62
15	824	1592	0	63
15	840	1592	0	62
15	856	1592	0	63
15	872	1592	0	62
15	888	1592	0	63
15	904	1592	0	62
15	920	1592	0	63
15	936	1592	0	62
15	952	1592	0	63
15	968	1592	1	62
15	984	1592	1	63
15	1000	1592	1	62
15	1016	1592	1	63
15	1032	1592	1	62
15	1048	1592	1	63
15	1064	1592	1	62
15	1080	1592	1	63
15	1096	1592	1	62
15	1112	1592	1	63
15	1128	1592	1	62
15	1144	1592	1	63
15	1160	1592	2	62
15	1176	1592	2	63
15	1192	1592	2	62
15	1208	1592	2	63
15	1224	1592	2	62
15	1240	1592	2	63
15	1256	1592	2	62
15	1272	1592	2	63
15	1288	1592	2	62
15	1304	1592	2	63
15	1320	1592	2	62
15	1336	1592	2	63
15	1352	1592	3	62
15	1368	1592	3	63
15	1384	1592	3	62
15	1400	1592	3	63
15	1416	1592	3	62
15	1432	1592	3	63
15	1448	1592	3	62
15	1464	1592	3	63
15	1480	1592	3	62
15	1496	1592	3	63
15	792	1608	0	51
15	1512	1608	3	51
15	792	1624	0	51
15	1512	1624	3	51
15	792	1640	0	51
15	1512	1640	3	51
15	792	1656	0	51
15	1512	1656	3	51
15	808	1672	0	48
15	824	1672	0	49
15	1480	1672	3	46
15	1496	1672	3	47
17	824	1688	0	60	16	16	13	690	1686
17	1480	1688	3	57	16	16	6	1610	1686
15	808	1704	0	62
15	824	1704	0	63
15	840	1704	0	62
15	856	1704	0	63
15	1448	1704	3	62
15	1464	1704	3	63
15	1480	1704	3	51
15	856	1720	0	51
15	1448	1720	3	51
15	872	1736	0	62
15	888	1736	0	63
15	904	1736	0	62
15	920	1736	0	63
15	936	1736	0	62
15	952	1736	0	63
15	968	1736	1	62
15	984	1736	1	63
15	1000	1736	1	62
15	1016	1736	1	63
15	1032	1736	1	62
15	1048	1736	1	63
15	1064	1736	1	62
15	1080	1736	1	63
15	1096	1736	1	62
15	1112	1736	1	63
15	1128	1736	1	62
15	1144	1736	1	63
15	1160	1736	2	62
15	1176	1736	2	63
15	1192	1736	2	62
15	1208	1736	2	63
15	1224	1736	2	62
15	1240	1736	2	63
15	1256	1736	2	62
15	1272	1736	2	63
15	1288	1736	2	62
15	1304	1736	2	63
15	1320	1736	2	62
15	1336	1736	2	63
15	1352	1736	3	62
15	1368	1736	3	63
15	1384	1736	3	62
15	1400	1736	3	63
15	1416	1736	3	62
15	1432	1736	3	63
