[MAP]
#x	y	width	height
512	1056	256	720
[GRID]
#grid_width	grid_height
128	180
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	552	1080	0	61
15	568	1080	0	62
15	584	1080	0	63
15	600	1080	0	61
15	616	1080	0	61
15	632	1080	0	62
15	648	1080	1	63
15	664	1080	1	61
15	680	1080	1	61
15	696	1080	1	62
15	712	1080	1	63
15	728	1080	1	61
15	536	1096	0	63
15	744	1096	1	62
15	536	1112	0	61
15	744	1112	1	61
15	536	1128	0	63
15	680	1128	1	62
15	696	1128	1	63
15	712	1128	1	62
15	728	1128	1	63
15	536	1144	0	61
15	680	1144	1	61
15	696	1144	1	62
15	712	1144	1	63
15	536	1160	0	63
15	712	1160	1	46
15	536	1176	0	61
17	712	1176	1	57	16	16	14	842	1174
15	536	1192	0	63
15	616	1192	0	62
15	632	1192	0	63
15	648	1192	1	62
15	664	1192	1	63
15	680	1192	1	62
15	696	1192	1	63
15	712	1192	1	62
15	536	1208	0	61
15	616	1208	0	61
15	632	1208	0	62
15	648	1208	1	63
15	664	1208	1	61
15	680	1208	1	61
15	696	1208	1	62
15	712	1208	1	63
15	728	1208	1	61
15	536	1224	0	63
15	744	1224	1	62
15	536	1240	2	61
15	744	1240	3	61
15	536	1256	2	63
15	744	1256	3	62
15	536	1272	2	61
15	744	1272	3	61
15	536	1288	2	63
15	744	1288	3	62
15	536	1304	2	61
15	744	1304	3	61
15	536	1320	2	63
15	744	1320	3	62
15	536	1336	2	61
15	744	1336	3	61
15	536	1352	2	63
15	744	1352	3	62
15	536	1368	2	61
15	744	1368	3	61
15	536	1384	2	63
15	744	1384	3	62
15	536	1400	2	61
15	744	1400	3	61
15	536	1416	4	63
15	744	1416	5	62
15	536	1432	4	61
15	744	1432	5	61
15	536	1448	4	63
15	744	1448	5	62
15	536	1464	4	61
15	744	1464	5	61
15	536	1480	4	63
15	744	1480	5	62
15	536	1496	4	61
15	744	1496	5	61
15	536	1512	4	63
15	744	1512	5	62
15	536	1528	4	61
15	744	1528	5	61
15	536	1544	4	63
15	744	1544	5	62
15	536	1560	4	61
15	744	1560	5	61
15	536	1576	4	63
15	744	1576	5	62
15	536	1592	4	61
15	744	1592	5	61
15	536	1608	6	63
15	744	1608	7	62
15	536	1624	6	61
15	744	1624	7	61
15	536	1640	6	63
15	680	1640	7	62
15	696	1640	7	63
15	712	1640	7	62
15	728	1640	7	63
15	536	1656	6	61
15	680	1656	7	61
15	696	1656	7	62
15	712	1656	7	63
15	536	1672	6	63
15	712	1672	7	46
15	536	1688	6	61
17	712	1688	7	57	16	16	12	842	1686
15	536	1704	6	63
15	680	1704	7	62
15	696	1704	7	63
15	712	1704	7	62
15	536	1720	6	61
15	680	1720	7	61
15	696	1720	7	62
15	712	1720	7	63
15	728	1720	7	61
15	536	1736	6	63
15	744	1736	7	62
15	536	1752	6	61
15	744	1752	7	61
15	552	1768	6	62
15	568	1768	6	63
15	584	1768	6	62
15	600	1768	6	63
15	616	1768	6	62
15	632	1768	6	63
15	648	1768	7	62
15	664	1768	7	63
15	680	1768	7	62
15	696	1768	7	63
15	712	1768	7	62
15	728	1768	7	63
