[MAP]
#x	y	width	height
768	1024	512	512
[GRID]
#grid_width	grid_height
128	128
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	808	1048	0	51
15	824	1048	0	51
15	840	1048	0	51
15	856	1048	0	51
15	872	1048	0	51
15	888	1048	0	51
15	904	1048	1	51
15	920	1048	1	51
15	936	1048	1	51
15	952	1048	1	51
15	968	1048	1	51
15	984	1048	1	51
15	1000	1048	1	51
15	1016	1048	1	51
15	1032	1048	2	51
15	1048	1048	2	51
15	1064	1048	2	51
15	1080	1048	2	51
15	1096	1048	2	51
15	1112	1048	2	51
15	1128	1048	2	51
15	1144	1048	2	51
15	1160	1048	3	51
15	1176	1048	3	51
15	1192	1048	3	51
15	1208	1048	3	51
15	1224	1048	3	51
15	1240	1048	3	51
15	792	1064	0	51
15	1256	1064	3	51
15	792	1080	0	51
15	1256	1080	3	51
15	792	1096	0	51
15	1256	1096	3	51
15	792	1112	0	51
15	1256	1112	3	51
15	792	1128	0	51
15	936	1128	1	51
15	952	1128	1	51
15	968	1128	1	51
15	984	1128	1	51
15	1064	1128	2	51
19	1080	1128	2	107
19	1096	1128	2	107
15	1112	1128	2	51
15	1128	1128	2	51
15	1144	1128	2	51
15	1160	1128	3	51
15	1176	1128	3	51
15	1256	1128	3	51
15	792	1144	0	51
15	904	1144	1	51
15	920	1144	1	51
15	936	1144	1	51
15	984	1144	1	51
15	1032	1144	2	51
15	1048	1144	2	51
15	1080	1144	2	51
15	1096	1144	2	51
15	1176	1144	3	51
15	1224	1144	3	51
15	1240	1144	3	51
15	1256	1144	3	51
15	808	1160	4	48
15	824	1160	4	49
15	936	1160	5	51
15	984	1160	5	51
15	1064	1160	6	51
15	1176	1160	7	51
15	1256	1160	7	51
17	824	1176	4	60	16	16	13	690	1174
15	936	1176	5	51
15	984	1176	5	51
15	1064	1176	6	51
15	1080	1176	6	51
15	1096	1176	6	51
15	1112	1176	6	51
15	1176	1176	7	51
15	1256	1176	7	51
15	808	1192	4	51
15	824	1192	4	51
15	840	1192	4	51
15	856	1192	4	51
15	936	1192	5	51
15	984	1192	5	51
15	1128	1192	6	51
15	1176	1192	7	51
15	1256	1192	7	51
15	856	1208	4	51
15	904	1208	5	51
15	920	1208	5	51
15	936	1208	5	51
15	984	1208	5	51
15	1000	1208	5	51
15	1016	1208	5	51
15	1128	1208	6	51
15	1176	1208	7	51
15	1192	1208	7	51
15	1208	1208	7	51
15	1256	1208	7	51
15	856	1224	4	51
15	936	1224	5	51
15	984	1224	5	51
15	1128	1224	6	51
15	1176	1224	7	51
15	1256	1224	7	51
15	856	1240	4	51
15	936	1240	5	51
15	984	1240	5	51
15	1128	1240	6	51
15	1176	1240	7	51
15	1256	1240	7	51
15	856	1256	4	51
15	936	1256	5	51
15	984	1256	5	51
15	1000	1256	5	51
19	1016	1256	5	107
19	1032	1256	6	107
15	1048	1256	6	51
15	1128	1256	6	51
15	1176	1256	7	51
15	1256	1256	7	51
15	856	1272	4	51
15	872	1272	4	51
15	888	1272	4	51
15	936	1272	5	51
15	984	1272	5	51
15	1016	1272	5	51
15	1032	1272	6	51
15	1064	1272	6	51
15	1080	1272	6	51
15	1128	1272	6	51
15	1176	1272	7	51
15	1224	1272	7	51
15	1240	1272	7	51
15	1256	1272	7	51
15	856	1288	8	51
15	936	1288	9	51
15	984	1288	9	51
15	1048	1288	10	51
15	1128	1288	10	51
15	1176	1288	11	51
15	1256	1288	11	51
15	808	1304	8	51
15	824	1304	8	51
15	840	1304	8	51
15	856	1304	8	51
15	936	1304	9	51
15	984	1304	9	51
15	1000	1304	9	51
15	1016	1304	9	51
15	1032	1304	10	51
15	1048	1304	10	51
15	1128	1304	10	51
15	1176	1304	11	51
15	1256	1304	11	51
15	792	1320	8	51
15	936	1320	9	51
15	984	1320	9	51
15	1128	1320	10	51
15	1176	1320	11	51
15	1256	1320	11	51
15	792	1336	8	51
15	904	1336	9	51
15	920	1336	9	51
15	936	1336	9	51
15	984	1336	9	51
15	1096	1336	10	51
15	1112	1336	10	51
15	1176	1336	11	51
15	1192	1336	11	51
15	1208	1336	11	51
15	1256	1336	11	51
15	792	1352	8	51
15	936	1352	9	51
15	984	1352	9	51
15	1128	1352	10	51
15	1176	1352	11	51
15	1256	1352	11	51
15	792	1368	8	51
15	936	1368	9	51
15	984	1368	9	51
15	1128	1368	10	51
15	1176	1368	11	51
15	1256	1368	11	51
15	792	1384	8	51
15	872	1384	8	51
19	888	1384	8	107
19	904	1384	9	107
15	920	1384	9	51
15	936	1384	9	51
15	984	1384	9	51
15	1000	1384	9	51
19	1016	1384	9	107
19	1032	1384	10	107
15	1048	1384	10	51
15	1064	1384	10	51
19	1080	1384	10	107
19	1096	1384	10	107
15	1112	1384	10	51
15	1128	1384	10	51
15	1176	1384	11	51
15	1256	1384	11	51
15	792	1400	8	51
15	840	1400	8	51
15	856	1400	8	51
15	888	1400	8	51
15	904	1400	9	51
15	936	1400	9	51
15	984	1400	9	51
15	1016	1400	9	51
15	1032	1400	10	51
15	1080	1400	10	51
15	1096	1400	10	51
15	1128	1400	10	51
15	1176	1400	11	51
15	1224	1400	11	51
15	1240	1400	11	51
15	792	1416	12	51
15	872	1416	12	51
15	936	1416	13	51
15	984	1416	13	51
15	1128	1416	14	51
15	1176	1416	15	51
15	1224	1416	15	46
15	792	1432	12	51
15	872	1432	12	51
15	888	1432	12	51
15	904	1432	13	51
15	920	1432	13	51
15	936	1432	13	51
15	952	1432	13	51
15	968	1432	13	51
15	984	1432	13	51
15	1000	1432	13	51
15	1016	1432	13	51
15	1032	1432	14	51
15	1048	1432	14	51
15	1064	1432	14	51
15	1080	1432	14	51
15	1096	1432	14	51
15	1112	1432	14	51
15	1128	1432	14	51
15	1176	1432	15	51
17	1224	1432	15	57	16	16	15	1354	1430
15	792	1448	12	51
15	1128	1448	14	51
15	1144	1448	14	51
15	1160	1448	15	51
15	1176	1448	15	51
15	1192	1448	15	51
15	1208	1448	15	51
