[MAP]
#x	y	width	height
1280	1296	256	224
[GRID]
#grid_width	grid_height
128	224
[DEFAULT]
1363	1421
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1320	1336	0	62
15	1336	1336	0	63
15	1352	1336	0	62
15	1368	1336	0	63
15	1384	1336	0	62
15	1400	1336	0	63
15	1416	1336	1	62
15	1432	1336	1	63
15	1448	1336	1	62
15	1464	1336	1	63
15	1480	1336	1	62
15	1496	1336	1	63
15	1304	1352	0	51
15	1512	1352	1	51
15	1304	1368	0	51
15	1512	1368	1	51
15	1304	1384	0	51
15	1512	1384	1	51
15	1304	1400	0	51
15	1512	1400	1	51
15	1320	1416	0	48
15	1336	1416	0	49
15	1512	1416	1	51
17	1336	1432	0	60	16	16	14	1204	1430
15	1512	1432	1	51
15	1336	1448	0	63
15	1352	1448	0	62
15	1368	1448	0	63
15	1464	1448	1	1
15	1512	1448	1	51
15	1368	1464	0	51
15	1512	1464	1	51
15	1368	1480	0	51
15	1384	1480	0	62
15	1400	1480	0	63
15	1416	1480	1	62
15	1432	1480	1	63
15	1448	1480	1	62
15	1464	1480	1	63
15	1480	1480	1	62
15	1496	1480	1	63
