[MAP]
#x	y	width	height
0	1808	256	224
[GRID]
#grid_width	grid_height
256	224
[DEFAULT]
125	1912
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma, 26 = item-hp
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
14	155	1912	0	14
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	24	1816	0	110
15	40	1816	0	77
15	56	1816	0	77
15	72	1816	0	77
15	88	1816	0	77
15	104	1816	0	77
15	120	1816	0	77
15	136	1816	0	77
15	152	1816	0	77
15	168	1816	0	77
15	184	1816	0	77
15	200	1816	0	77
15	216	1816	0	89
15	232	1816	0	109
15	24	1832	0	98
15	232	1832	0	97
15	24	1848	0	110
15	232	1848	0	109
15	24	1864	0	98
15	232	1864	0	97
15	24	1880	0	110
15	232	1880	0	70
15	24	1896	0	98
15	232	1896	0	82
15	24	1912	0	110
80	120	1912	0	74	16	16	2	10	2113	439
15	24	1928	0	98
15	232	1928	0	97
15	24	1944	0	110
15	232	1944	0	109
15	24	1960	0	98
15	232	1960	0	97
15	24	1976	0	110
15	232	1976	0	109
15	24	1992	0	98
15	232	1992	0	97
15	24	2008	0	110
15	232	2008	0	109
15	24	2024	0	98
15	40	2024	0	97
15	56	2024	0	98
15	72	2024	0	97
15	88	2024	0	98
15	104	2024	0	97
15	120	2024	0	98
15	136	2024	0	97
15	152	2024	0	98
15	168	2024	0	97
15	184	2024	0	98
15	200	2024	0	97
15	216	2024	0	98
15	232	2024	0	97
17	232	1912	0	109	16	16	2	304	1904
