[MAP]
#x	y	width	height
1280	1552	256	224
[GRID]
#grid_width	grid_height
256	224
[DEFAULT]
1350	1650
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1304	1560	0	110
15	1320	1560	0	77
15	1336	1560	0	77
15	1352	1560	0	77
15	1368	1560	0	77
15	1384	1560	0	77
15	1432	1560	0	77
15	1448	1560	0	77
15	1464	1560	0	77
15	1480	1560	0	77
15	1496	1560	0	89
15	1512	1560	0	109
15	1304	1576	0	98
16	1320	1576	0	103
16	1336	1576	0	103
16	1352	1576	0	103
16	1368	1576	0	103
16	1384	1576	0	103
16	1480	1576	0	103
15	1496	1576	0	92
15	1512	1576	0	97
15	1304	1592	0	110
16	1320	1592	0	91
16	1336	1592	0	91
16	1352	1592	0	91
16	1368	1592	0	91
16	1384	1592	0	91
16	1480	1592	0	91
16	1496	1592	0	104
15	1512	1592	0	109
15	1304	1608	0	98
16	1320	1608	0	91
16	1336	1608	0	91
16	1352	1608	0	91
16	1368	1608	0	91
16	1384	1608	0	91
16	1400	1608	0	103
16	1416	1608	0	103
16	1432	1608	0	103
16	1480	1608	0	91
16	1496	1608	0	104
15	1512	1608	0	97
15	1304	1624	0	72
16	1320	1624	0	91
16	1336	1624	0	91
16	1352	1624	0	91
16	1368	1624	0	91
16	1384	1624	0	91
16	1400	1624	0	91
16	1416	1624	0	91
16	1432	1624	0	91
16	1480	1624	0	91
16	1496	1624	0	104
15	1512	1624	0	109
15	1304	1640	0	84
16	1320	1640	0	91
16	1384	1640	0	91
16	1400	1640	0	91
16	1416	1640	0	91
16	1432	1640	0	91
16	1480	1640	0	91
16	1496	1640	0	104
15	1512	1640	0	97
16	1384	1656	0	91
16	1400	1656	0	91
16	1416	1656	0	91
16	1432	1656	0	91
16	1480	1656	0	91
16	1496	1656	0	104
15	1512	1656	0	109
15	1304	1672	0	98
16	1480	1672	0	91
16	1496	1672	0	104
15	1512	1672	0	97
15	1304	1688	0	110
16	1320	1688	0	103
16	1480	1688	0	91
16	1496	1688	0	104
15	1512	1688	0	109
15	1304	1704	0	98
16	1320	1704	0	91
16	1336	1704	0	103
16	1352	1704	0	103
16	1368	1704	0	103
16	1384	1704	0	103
16	1400	1704	0	103
16	1416	1704	0	103
16	1432	1704	0	103
16	1448	1704	0	103
16	1464	1704	0	103
16	1480	1704	0	91
16	1496	1704	0	104
15	1512	1704	0	97
15	1304	1720	0	110
16	1320	1720	0	91
16	1336	1720	0	91
16	1352	1720	0	91
16	1368	1720	0	91
16	1384	1720	0	91
16	1400	1720	0	91
16	1416	1720	0	91
16	1432	1720	0	91
16	1448	1720	0	91
16	1464	1720	0	91
16	1480	1720	0	91
16	1496	1720	0	104
15	1512	1720	0	109
15	1304	1736	0	98
16	1320	1736	0	91
16	1336	1736	0	91
16	1352	1736	0	91
16	1368	1736	0	91
16	1384	1736	0	91
16	1400	1736	0	91
16	1416	1736	0	91
16	1432	1736	0	91
16	1448	1736	0	91
16	1464	1736	0	91
16	1480	1736	0	91
16	1496	1736	0	104
15	1512	1736	0	97
15	1304	1752	0	110
16	1320	1752	0	91
16	1336	1752	0	91
16	1352	1752	0	91
16	1368	1752	0	91
16	1384	1752	0	91
16	1400	1752	0	91
16	1416	1752	0	91
16	1432	1752	0	91
16	1448	1752	0	91
16	1464	1752	0	91
16	1480	1752	0	91
16	1496	1752	0	104
15	1512	1752	0	109
15	1304	1768	0	98
15	1320	1768	0	97
15	1336	1768	0	98
15	1352	1768	0	97
15	1368	1768	0	98
15	1384	1768	0	97
15	1400	1768	0	98
15	1416	1768	0	97
15	1432	1768	0	98
15	1448	1768	0	97
15	1464	1768	0	98
15	1480	1768	0	97
15	1496	1768	0	98
15	1512	1768	0	97
17	1408	1560	0	111	112	32	16	18	1407	1487
17	1304	1656	0	109	16	16	11	1233	1648
