[MAP]
#x	y	width	height
512	1296	256	224
[GRID]
#grid_width	grid_height
256	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
14	650	1450	0	14
14	700	1450	0	14
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	536	1304	0	110
15	552	1304	0	77
15	568	1304	0	77
15	584	1304	0	77
15	600	1304	0	77
15	616	1304	0	77
15	664	1304	0	77
15	680	1304	0	77
15	696	1304	0	77
15	712	1304	0	77
15	728	1304	0	89
15	744	1304	0	109
15	536	1320	0	98
15	744	1320	0	97
15	536	1336	0	110
15	744	1336	0	109
15	536	1352	0	98
15	744	1352	0	97
15	536	1368	0	72
15	744	1368	0	70
15	536	1384	0	84
15	744	1384	0	82
15	536	1416	0	98
15	744	1416	0	97
15	536	1432	0	110
15	744	1432	0	109
15	536	1448	0	98
15	744	1448	0	97
15	536	1464	0	110
15	744	1464	0	109
15	536	1480	0	98
15	744	1480	0	97
15	536	1496	0	110
15	744	1496	0	109
15	536	1512	0	98
15	552	1512	0	97
15	568	1512	0	98
15	584	1512	0	97
15	600	1512	0	98
15	616	1512	0	97
15	632	1512	0	95
15	648	1512	0	96
15	664	1512	0	98
15	680	1512	0	97
15	696	1512	0	98
15	712	1512	0	97
15	728	1512	0	98
15	744	1512	0	97
17	536	1400	0	109	16	16	14	464	1391
17	640	1304	0	111	112	32	16	21	640	1232
17	744	1400	0	109	16	16	16	816	1391
17	640	1512	0	111	112	32	16	9	640	1512
