[MAP]
#x	y	width	height
512	784	256	224
[GRID]
#grid_width	grid_height
256	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = spike, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = gatescene, 81 = brokenable-brick
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	536	792	0	110
15	552	792	0	77
15	568	792	0	77
15	584	792	0	77
15	600	792	0	77
15	616	792	0	77
15	632	792	0	77
15	648	792	0	77
15	664	792	0	77
15	680	792	0	77
15	696	792	0	77
15	712	792	0	77
15	728	792	0	89
15	744	792	0	109
15	536	808	0	98
15	744	808	0	97
15	536	824	0	110
15	744	824	0	109
15	536	840	0	98
15	744	840	0	97
15	536	856	0	72
15	744	856	0	70
15	536	872	0	84
15	744	872	0	82
15	536	904	0	98
15	744	904	0	97
15	536	920	0	110
15	744	920	0	109
15	536	936	0	98
15	744	936	0	97
15	536	952	0	110
15	744	952	0	109
15	536	968	0	98
15	744	968	0	97
15	536	984	0	110
15	744	984	0	109
15	536	1000	0	98
15	552	1000	0	97
15	568	1000	0	98
15	584	1000	0	97
15	600	1000	0	98
15	616	1000	0	97
15	664	1000	0	98
15	680	1000	0	97
15	696	1000	0	98
15	712	1000	0	97
15	728	1000	0	98
15	744	1000	0	97
17	536	888	0	109	16	16	25	465	880
17	744	888	0	109	16	16	27	816	879
17	640	1000	0	111	112	32	16	21	640	1055
