[MAP]
#x	y	width	height
1280	16	256	224
[GRID]
#grid_width	grid_height
256	224
#object type: 1 = sophia, 2 = minijason, 3 = jason, 4 = worm, 5 = dome, 6 = floater2
#object type: 7 = insect, 8 = jumper2, 9 = orb, 10 = skull, 11 = mine, 12 = teleporter, 13 = cannon
#object type: 14 = eyeball, 15 = brick, 16 = arrow, 17 = Gate, 18 = ladder, 19 = magma
#object type: 80 = Gatex, 81 = gateY, 82 = gateOver, 83 = Chong, 84 = unk
[DYNAMIC_OBJECTS]
#type	x	y	grid_id	ani_set_id
[STATIC_OBJECTS]
#type	x	y	grid_id	sprite_id1	...
15	1304	1816	-1	110
15	1320	1816	-1	77
15	1336	1816	-1	77
15	1352	1816	-1	77
15	1368	1816	-1	77
15	1384	1816	-1	77
15	1400	1816	-1	77
15	1416	1816	-1	77
15	1432	1816	-1	77
15	1448	1816	-1	77
15	1464	1816	-1	77
15	1480	1816	-1	77
15	1496	1816	-1	89
15	1512	1816	-1	109
15	1304	1832	-1	98
15	1512	1832	-1	97
15	1304	1848	-1	110
15	1512	1848	-1	109
15	1304	1864	-1	98
15	1512	1864	-1	97
15	1304	1880	-1	72
15	1512	1880	-1	109
15	1304	1896	-1	84
15	1512	1896	-1	97
80	1304	1912	-1	189
15	1512	1912	-1	109
15	1304	1928	-1	98
15	1512	1928	-1	97
15	1304	1944	-1	110
15	1512	1944	-1	109
15	1304	1960	-1	98
15	1512	1960	-1	97
15	1304	1976	-1	110
15	1512	1976	-1	109
15	1304	1992	-1	98
15	1512	1992	-1	97
15	1304	2008	-1	110
15	1512	2008	-1	109
15	1304	2024	-1	98
15	1320	2024	-1	97
15	1336	2024	-1	98
15	1352	2024	-1	97
15	1368	2024	-1	98
15	1384	2024	-1	97
15	1400	2024	-1	98
15	1416	2024	-1	97
15	1432	2024	-1	98
15	1448	2024	-1	97
15	1464	2024	-1	98
15	1480	2024	-1	97
15	1496	2024	-1	98
15	1512	2024	-1	97
