#id	file_path	transparent_color_r g b
[TEXTURES]
0	Resource/endgame/endgame_full.png	255	0	255
#sound
# id	path
[SOUNDS]
[DESCRIPTION]
Resource/Config/endgame/description.txt
[SPRITES]
# id	left	top	right	bottom	texture_id
#======bg full========
1000	2	2	514	226	0
#========bg start==============
1001	2	2	258	226	0
1002	589	237	845	461	0
1003	326	312	582	536	0
1004	782	6	1038	230	0
1005	522	5	778	229	0
#========bg end ============
1006	256	2	512	226	0
#========head================
2000	463	227	479	242	0
2001	480	227	496	242	0
2002	497	227	513	242	0
#====frog================
3000	463	243	479	259	0
#====logo============
#====dragon====
4000	190	294	254	374	0
#====column====
4001	255	367	271	374	0
#====theend==============
5000	115	316	187	372	0
#======mountain========
6000	35	238	59	262	0
#======left0  101x16 ==========
7000	876	248	977	264	0
#======left1  101x16==========
7001	874	287	975	303	0
#======left2  101x16==========
7002	873	330	974	346	0
#====== continue 139x16==========
8000	868	380	1007	396	0
#=======end 51x15=======
8001	868	433	919	448	0
#======================character======================
65	118	238	126	246	0
66	127	238	135	246	0
67	136	238	144	246	0
68	145	238	153	246	0
69	154	238	162	246	0
70	163	238	171	246	0
71	172	238	180	246	0
72	181	238	189	246	0
73	190	238	198	246	0
74	199	238	207	246	0
75	208	238	216	246	0
76	217	238	225	246	0
77	226	238	234	246	0
78	235	238	243	246	0
79	244	238	252	246	0
80	253	238	261	246	0
81	262	238	270	246	0
82	271	238	279	246	0
83	280	238	288	246	0
84	289	238	297	246	0
85	298	238	306	246	0
86	307	238	315	246	0
87	316	238	324	246	0
88	325	238	333	246	0
89	334	238	342	246	0
90	343	238	351	246	0
#==========number==============
48	118	247	126	255	0
49	127	247	135	255	0
50	136	247	144	255	0
51	145	247	153	255	0
52	154	247	162	255	0
53	163	247	171	255	0
54	172	247	180	255	0
55	181	247	189	255	0
56	190	247	198	255	0
57	199	247	207	255	0
#========special character==========
45	208	247	216	255	0
46	217	247	225	255	0
33	226	247	234	255	0

# ani_id	sprite1_id	time1	R	G	B	sprite2_id	time2	R	G	B...
[ANIMATIONS]
0	1005	1000
#====head====
1	2000	100	2001	100	2002	100
2	1005	2000	1004	200	1003	200	1002	200	1001	1000	1001	100
# id	ani1	ani2	ani3
[ANIMATION_SETS]
0	0	1	2
