Game Object 		Animation ID
**main player
Sophia			1xxxx
	
MiniJason		2xxxx
	
Jason			3xxxx

**area2
Worm			4xxxx
	
Dome			5xxxx
Floater2		6xxxx
	
Insect			7xxxx
Jumper2			8xxxx
Orb			9xxxx
Skull			10xxxx
Mine			11xxxx

** overworld
Teleporter		12xxxx
Cannon			13xxxx
Eyeball			14xxxx

jason_bullet		20xxxx
*xxxx from 0001 to 9999

[OBJECTS ID TYPE]

Sophia			1
	
MiniJason		2
	
Jason			3

**area2
Worm			4
	
Dome			5
Floater2		6
	
Insect			7
Jumper2			8
Orb			9
Skull			10
Mine			11

**area2 overworld
Teleporter		12
Cannon			13
Eyeball			14


#static obj
brick			15
spike			16
Gate			17
Ladder			18
Magma			19

Bullet			20

SceneGate 		80
brokenable-brick	81
